Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
204,2019-07-20 14:25:00.000,S1,surface,11080263,data\DonneesB23\2019-07\2019-07-19\2019-07-19T16_08_15.925000,2019-07-19 16:08:15
205,2019-07-20 15:30:30.000,S1,surface,11080254,data\DonneesB23\2019-07\2019-07-19\2019-07-19T16_08_15.925000,2019-07-19 16:08:15
206,2019-07-21 21:14:00.000,S1,surface,11081248,data\DonneesB23\2019-07\2019-07-21\2019-07-21T04_40_00.550000,2019-07-21 04:40:00
207,2019-07-23 10:55:00.000,S1,surface,11082724,data\DonneesB23\2019-07\2019-07-22\2019-07-22T16_42_18.125000,2019-07-22 16:42:18
208,2019-07-27 18:45:00.000,*,body,11086537,data\DonneesB23\2019-07\2019-07-26\2019-07-26T10_13_06.325000,2019-07-26 10:13:06
209,2019-08-02 01:26:00.000,S1,surface,11090368,data\DonneesB23\2019-08\2019-08-01\2019-08-01T22_59_47.075000,2019-08-01 22:59:47
210,2019-08-06 17:40:00.000,S1,surface,11092784,data\DonneesB23\2019-08\2019-08-05\2019-08-05T16_24_42.875000,2019-08-05 16:24:42
211,2019-08-06 22:22:00.000,*,body,11092895,data\DonneesB23\2019-08\2019-08-05\2019-08-05T16_24_42.875000,2019-08-05 16:24:42
212,2019-08-07 05:41:40.000,*,body,11093088,data\DonneesB23\2019-08\2019-08-05\2019-08-05T16_24_42.875000,2019-08-05 16:24:42
213,2019-08-12 10:45:00.000,*,body,11096114,data\DonneesB23\2019-08\2019-08-11\2019-08-11T22_26_30.600000,2019-08-11 22:26:30
